Journal	covid	noncovid	precovid
Cell	0.75	0.659722222222222	0.737463126843658
Nature Reviews Immunology	0		
New England Journal of Medicine	0		
Nature Medicine	0.337209302325581	0.469298245614035	0.5
The Lancet Oncology	0.666666666666667	0.809917355371901	0.66189111747851
The Lancet	0.791808873720137	0.686708860759494	0.689866939611054
Nature	0.132575757575758	0.354208754208754	0.37417943107221
Science	0.238341968911917	0.423672566371681	0.389199255121043
Nature Biotechnology	0.111111111111111	0.370535714285714	0.28921568627451
Immunity	0.454545454545455	0.639344262295082	0.699386503067485
The Lancet Neurology	0.7	0.672566371681416	0.653333333333333
Journal of the American College of Cardiology	0.710526315789474	0.899803536345776	0.893884892086331
The Lancet Diabetes and Endocrinology	0.75	0.868686868686869	0.732283464566929
The Lancet Infectious Diseases	0.879746835443038	0.778242677824268	0.846473029045643
The Lancet Global Health	0.934426229508197	0.892086330935252	0.894179894179894
Gut	1	0.983240223463687	0.965116279069768
JAMA Oncology	0		
Lancet Respiratory Medicine,The	0.761363636363636	0.6875	0.698630136986301
Cancer Discovery	0.222222222222222	0.242798353909465	0.322147651006711
Circulation	0		
Nature Reviews Drug Discovery	0		
The Lancet Psychiatry	0.918367346938776	0.774436090225564	0.791411042944785
MMWR. Morbidity and mortality weekly report	0		
Gastroenterology	0.94	0.917293233082707	0.802110817941952
Journal of Hepatology	1	0.982758620689655	0.981900452488688
Diabetes Care	0.85	0.807086614173228	0.698924731182796
Annals of the Rheumatic Diseases	1	0.984189723320158	0.957746478873239
Cell Research	0.769230769230769	0.623762376237624	0.666666666666667
JAMA Internal Medicine	0		
ACS Nano	0		
Nature Reviews Gastroenterology and Hepatology	0		
eLife	1	0.984037558685446	0.987542468856172
Journal of Clinical Investigation	0.05	0.556521739130435	0.339160839160839
European Heart Journal	0.273809523809524	0.352144469525959	0.288828337874659
American Journal of Respiratory and Critical Care Medicine	0		
Nature Communications	0.952380952380952	0.944582299421009	0.938500156887355
European Journal of Heart Failure	1	0.972727272727273	0.957142857142857
Blood	0.545454545454545	0.615241635687732	0.531468531468532
Hepatology	0.0833333333333333	0.119298245614035	0.764462809917355
JACC: Heart Failure	0.7	0.927083333333333	0.937007874015748
Proceedings of the National Academy of Sciences of the United States of America	0		
Annals of Neurology	1	1	0.984
EMBO Molecular Medicine	0.25	0.828947368421053	0.207547169811321
Annals of Internal Medicine	0		
Circulation Research	0		
JAMA Pediatrics	0		
Ophthalmology	1	0.974169741697417	0.973404255319149
Journal of the American Society of Nephrology : JASN	0.444444444444444	0.715277777777778	0.687074829931973
Clinical Infectious Diseases	1	0.906555090655509	0.729468599033817
Arthritis and Rheumatology	0.3		
Leukemia	1	0.943396226415094	0.939226519337017
Journal of Heart and Lung Transplantation	1	0.966942148760331	0.98019801980198
mBio	0		
Health Affairs	0		
Annals of Surgery	0		
British Journal of Sports Medicine	0		
Journal of Allergy and Clinical Immunology	1	0.984313725490196	0.974264705882353
Journal of the American Society of Echocardiography	0.95	0.818181818181818	0.833333333333333
BMC Medicine	0.96969696969697	0.982035928143713	1
Intensive Care Medicine	0.386666666666667	0.640909090909091	0.744565217391304
European Journal of Epidemiology	1	0.981132075471698	0.951612903225806
Kidney International	1	0.977099236641221	0.988
European Journal of Cancer	1	0.985576923076923	0.994708994708995
European Respiratory Journal	1	0.971128608923885	0.991769547325103
Alimentary Pharmacology and Therapeutics	0.315789473684211	0.578260869565217	0.537878787878788
Journal of Neurology, Neurosurgery and Psychiatry	1	0.991735537190083	0.983606557377049
American Journal of Obstetrics and Gynecology	0.939393939393939	0.940594059405941	0.977346278317152
Thorax	0.363636363636364	0.780701754385965	0.784313725490196
Journal of Thoracic Oncology	1	0.993548387096774	0.965
Resuscitation	0.972222222222222	0.995951417004049	1
Stroke	0		
Cancer	0.833333333333333	0.866295264623956	0.791304347826087
Allergy: European Journal of Allergy and Clinical Immunology	0.594594594594595	0.735177865612648	0.567441860465116
Eurosurveillance	0		
Neurology	0.833333333333333	0.484496124031008	0.50593471810089
Critical Care Medicine	0		
American Journal of Transplantation	0.744186046511628	0.681506849315069	0.83419689119171
Radiology	0		
Movement Disorders	1	0.995121951219512	0.962765957446809
Journal of Infectious Diseases	0.98	0.823529411764706	0.887387387387387
Clinical Journal of the American Society of Nephrology	0.214285714285714	0.385057471264368	0.412121212121212
Clinical Microbiology and Infection	1	0.975	0.981042654028436
Hypertension	0		
Psychological Medicine	0		
American Heart Journal	0.923076923076923	0.963235294117647	0.915254237288136
Heart Rhythm	1	1	0.984693877551021
Ultrasound in Obstetrics and Gynecology	0.652173913043478	0.926174496644295	0.868686868686869
American Journal of Kidney Diseases	1	0.984962406015038	0.945578231292517
Pediatrics	0		
Emerging Infectious Diseases	0		
Environmental Science & Technology	0		
Journal of Clinical Epidemiology	0.9375	0.952941176470588	0.936507936507937
Journal of Internal Medicine	0.764705882352941	0.666666666666667	0
Cardiovascular Research	0.533333333333333	0.72	0.641221374045801
Oncologist	1	0.967105263157895	0.996
Journal of Clinical Microbiology	0.0833333333333333	0.459183673469388	0.6
Chest	0.982758620689655	1	0.98989898989899
Brain, Behavior, and Immunity	1	0.973404255319149	0.99163179916318
American Journal of Gastroenterology	0		
Cellular and Molecular Immunology	0.956521739130435	0.984732824427481	0.972602739726027
European Heart Journal Cardiovascular Imaging	0.615384615384615	0.841059602649007	0.463414634146342
Journal of Travel Medicine	0.927536231884058	0.843137254901961	1
Diabetes, Obesity and Metabolism	1	0.976608187134503	0.976608187134503
British Journal of Pharmacology	0.952380952380952	0.928934010152284	0.951807228915663
Journal of Bone and Joint Surgery - Series A	0		
Journal of Arthroplasty	1	0.987679671457906	0.978823529411765
Circulation. Cardiovascular quality and outcomes	0		
Journal of Clinical Endocrinology and Metabolism	1	0.971204188481675	0.936046511627907
Gynecologic Oncology	0.636363636363636	0.942528735632184	0.93953488372093
Cytokine and Growth Factor Reviews	0.823529411764706	0.966666666666667	1
