ISSN	median_precovid	count_precovid	median_noncovid	count_noncovid	median	count	Journal	Rank	Categories	Publisher	covid_completeness	noncovid_completeness	precovid_completeness
1097-4172	224	250	222	190	46	27	Cell	8	Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)	Cell Press	0.75	0.659722222222222	0.737463126843658
1546-170X	262.5	114	241	107	62	29	Nature Medicine	22	Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)	Nature Publishing Group	0.337209302325581	0.469298245614035	0.5
1474-5488	83	231	80.5	196	21	24	The Lancet Oncology	23	Oncology (Q1)	Lancet Publishing Group	0.666666666666667	0.809917355371901	0.66189111747851
1474-547X	160	674	143	434	16	232	The Lancet	29	Medicine (miscellaneous) (Q1)	Elsevier Ltd.	0.791808873720137	0.686708860759494	0.689866939611054
1476-4687	284	513	305.5	526	57	35	Nature	33	Multidisciplinary (Q1)	Nature Publishing Group	0.132575757575758	0.354208754208754	0.37417943107221
1095-9203	191	418	213	383	35.5	46	Science	42	History and Philosophy of Science (Q1); Multidisciplinary (Q1)	American Association for the Advancement of Science	0.238341968911917	0.423672566371681	0.389199255121043
1558-3597	120	497	107	458	24	27	Journal of the American College of Cardiology	69	Cardiology and Cardiovascular Medicine (Q1)	Elsevier USA	0.710526315789474	0.899803536345776	0.893884892086331
2213-8595	70	93	73	86	31	12	The Lancet Diabetes and Endocrinology	82	Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1); Internal Medicine (Q1)	Elsevier BV	0.75	0.868686868686869	0.732283464566929
1474-4457	109	204	119.5	186	25	139	The Lancet Infectious Diseases	88	Infectious Diseases (Q1)	Lancet Publishing Group	0.879746835443038	0.778242677824268	0.846473029045643
2214-109X	96.5	168	76	124	20	57	The Lancet Global Health	110	Medicine (miscellaneous) (Q1)	Elsevier BV	0.934426229508197	0.892086330935252	0.894179894179894
1468-3288	117	166	100.5	176	26	38	Gut	121	Gastroenterology (Q1)	BMJ Publishing Group	1	0.983240223463687	0.965116279069768
2213-2619	86.5	102	100	88	20	67	Lancet Respiratory Medicine,The	136	Pulmonary and Respiratory Medicine (Q1)	Elsevier Ltd.	0.761363636363636	0.6875	0.698630136986301
2215-0374	61	129	60	103	39	45	The Lancet Psychiatry	161	Biological Psychiatry (Q1); Psychiatry and Mental Health (Q1)	Elsevier Ltd.	0.918367346938776	0.774436090225564	0.791411042944785
1528-0012	98	304	75	366	21	94	Gastroenterology	169	Gastroenterology (Q1); Hepatology (Q1)	W.B. Saunders Ltd	0.94	0.917293233082707	0.802110817941952
1600-0641	122	217	122.5	228	21	31	Journal of Hepatology	171	Hepatology (Q1)	Elsevier	1	0.982758620689655	0.981900452488688
1935-5548	160	195	161	205	44	17	Diabetes Care	180	Advanced and Specialized Nursing (Q1); Endocrinology, Diabetes and Metabolism (Q1); Internal Medicine (Q1)	American Diabetes Association Inc.	0.85	0.807086614173228	0.698924731182796
1468-2060	65	272	45	249	19	130	Annals of the Rheumatic Diseases	192	Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology (Q1); Immunology and Allergy (Q1); Rheumatology (Q1)	BMJ Publishing Group	1	0.984189723320158	0.957746478873239
1748-7838	131.5	46	130	63	40	10	Cell Research	193	Cell Biology (Q1); Molecular Biology (Q1)	Nature Publishing Group	0.769230769230769	0.623762376237624	0.666666666666667
2050-084X	138	872	142	1048	22	23	eLife	198	Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1); Neuroscience (miscellaneous) (Q1)	eLife Sciences Publications	1	0.984037558685446	0.987542468856172
1522-9645	184.5	106	130.5	156	40	23	European Heart Journal	214	Cardiology and Cardiovascular Medicine (Q1)	Oxford University Press	0.273809523809524	0.352144469525959	0.288828337874659
2041-1723	227	2991	238	3426	64.5	20	Nature Communications	238	Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)	Nature Publishing Group	0.952380952380952	0.944582299421009	0.938500156887355
1879-0844	97	134	103.5	214	18	19	European Journal of Heart Failure	240	Cardiology and Cardiovascular Medicine (Q1)	Wiley-Blackwell	1	0.972727272727273	0.957142857142857
1528-0020	131.5	228	159	331	38.5	12	Blood	252	Biochemistry (Q1); Cell Biology (Q1); Hematology (Q1); Immunology (Q1)	American Society of Hematology	0.545454545454545	0.615241635687732	0.531468531468532
1531-8249	137	123	138	159	17	11	Annals of Neurology	290	Neurology (Q1); Neurology (clinical) (Q1)	John Wiley and Sons Inc.	1	1	0.984
1549-4713	145	183	145.5	264	25	23	Ophthalmology	330	Ophthalmology (Q1)	Elsevier Inc.	1	0.974169741697417	0.973404255319149
1533-3450	210	101	228	103	49.5	12	Journal of the American Society of Nephrology : JASN	331	Medicine (miscellaneous) (Q1); Nephrology (Q1)	American Society of Nephrology	0.444444444444444	0.715277777777778	0.687074829931973
1537-6591	112.5	302	97	650	28	277	Clinical Infectious Diseases	352	Infectious Diseases (Q1); Microbiology (medical) (Q1)	Oxford University Press	1	0.906555090655509	0.729468599033817
1476-5551	148	170	130	250	30	22	Leukemia	390	Anesthesiology and Pain Medicine (Q1); Cancer Research (Q1); Hematology (Q1); Oncology (Q1)	Nature Publishing Group	1	0.943396226415094	0.939226519337017
1557-3117	124	99	115	117	48.5	18	Journal of Heart and Lung Transplantation	397	Cardiology and Cardiovascular Medicine (Q1); Pulmonary and Respiratory Medicine (Q1); Surgery (Q1); Transplantation (Q1)	Elsevier USA	1	0.966942148760331	0.98019801980198
1097-6825	135	265	131	251	33	39	Journal of Allergy and Clinical Immunology	446	Immunology (Q1); Immunology and Allergy (Q1)	Mosby Inc.	1	0.984313725490196	0.974264705882353
1097-6795	161	100	154	99	62	19	Journal of the American Society of Echocardiography	485	Cardiology and Cardiovascular Medicine (Q1); Radiology, Nuclear Medicine and Imaging (Q1)	Mosby Inc.	0.95	0.818181818181818	0.833333333333333
1741-7015	152	140	157.5	164	48.5	32	BMC Medicine	492	Medicine (miscellaneous) (Q1)	BioMed Central Ltd.	0.96969696969697	0.982035928143713	1
1432-1238	67	137	89	141	28	29	Intensive Care Medicine	515	Critical Care and Intensive Care Medicine (Q1)	Springer Verlag	0.386666666666667	0.640909090909091	0.744565217391304
1573-7284	153	59	172	52	25.5	12	European Journal of Epidemiology	517	Epidemiology (Q1)	Springer Netherlands	1	0.981132075471698	0.951612903225806
1523-1755	200	247	162	256	34	35	Kidney International	524	Nephrology (Q1)	Elsevier Inc.	1	0.977099236641221	0.988
1879-0852	116	188	115	205	32	26	European Journal of Cancer	529	Cancer Research (Q1); Oncology (Q1)	Elsevier Ltd.	1	0.985576923076923	0.994708994708995
1399-3003	93	241	100	370	30	104	European Respiratory Journal	530	Medicine (miscellaneous) (Q1); Pulmonary and Respiratory Medicine (Q1)	European Respiratory Society	1	0.971128608923885	0.991769547325103
1468-330X	125	120	108.5	120	46	11	Journal of Neurology, Neurosurgery and Psychiatry	566	Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1); Surgery (Q1)	BMJ Publishing Group	1	0.991735537190083	0.983606557377049
1097-6868	101	302	95	285	27	31	American Journal of Obstetrics and Gynecology	570	Obstetrics and Gynecology (Q1)	Mosby Inc.	0.939393939393939	0.940594059405941	0.977346278317152
1556-1380	116	193	104.5	154	16	17	Journal of Thoracic Oncology	590	Medicine (miscellaneous) (Q1); Oncology (Q1); Pulmonary and Respiratory Medicine (Q1)	International Association for the Study of Lung Cancer	1	0.993548387096774	0.965
1873-1570	92	294	97	246	17	35	Resuscitation	626	Cardiology and Cardiovascular Medicine (Q1); Emergency Medicine (Q1); Emergency Nursing (Q1)	Elsevier Ireland Ltd	0.972222222222222	0.995951417004049	1
1097-0142	147	273	134	311	56.5	10	Cancer	643	Cancer Research (Q1); Oncology (Q1)	John Wiley and Sons Inc.	0.833333333333333	0.866295264623956	0.791304347826087
1398-9995	122	122	126.5	186	27	22	Allergy: European Journal of Allergy and Clinical Immunology	645	Immunology (Q1); Immunology and Allergy (Q1)	Wiley-Blackwell Publishing Ltd	0.594594594594595	0.735177865612648	0.567441860465116
1526-632X	239	341	280	375	37	35	Neurology	658	Neurology (clinical) (Q1)	Lippincott Williams and Wilkins Ltd.	0.833333333333333	0.484496124031008	0.50593471810089
1600-6143	120	161	110	199	25	64	American Journal of Transplantation	665	Immunology and Allergy (Q1); Pharmacology (medical) (Q1); Transplantation (Q1)	Wiley-Blackwell Publishing Ltd	0.744186046511628	0.681506849315069	0.83419689119171
